collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
NEMSAUTO_TCDC,NEMSAUTO,,,,,,,,,,,,,,,,,,,,,available,,,,,,,,
NEMSGLOBAL_TCDC,NEMSGLOBAL,,,,,,,,,,,,,,,,,,,,,available,,,,,,,,
S1_AUX_GNSSRD,SENTINEL1,AUX,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_AUX_MOEORB,SENTINEL1,AUX,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_AUX_POEORB,SENTINEL1,AUX,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_AUX_PREORB,SENTINEL1,AUX,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_AUX_PROQUA,SENTINEL1,AUX,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_AUX_RESORB,SENTINEL1,AUX,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_SAR_GRD,SENTINEL1,L1,available,,,available,,,available,available,available,,,available,,,,,available,available,,,available,available,available,,,,,available
S1_SAR_GRD_COG,SENTINEL1,L1,,,,available,,,,,,,,,,,,,,,,,,,,,,,,
S1_SAR_L3_DH_MCM,SENTINEL1,L3,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_SAR_L3_IW_MCM,SENTINEL1,L3,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S1_SAR_OCN,SENTINEL1,L2,,,,available,,,available,available,,,,,,,,,available,available,,,available,,available,,,,,available
S1_SAR_RAW,SENTINEL1,L0,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,available
